rank,company,ticker,ir_url,transcript_url,webcast_url,notes
1,NVIDIA Corporation,NVDA,https://investor.nvidia.com/financial-info/quarterly-results/default.aspx,https://s201.q4cdn.com/141608511/files/doc_financials/2026/q4/NVDA-Q4-2026-Earnings-Call-25-February-2026-5_00-PM-ET.pdf,https://events.q4inc.com/attendee/412427890,"Transcript: PDF
Webcast: Event page"
2,Apple Inc.,AAPL,https://investor.apple.com/investor-relations/default.aspx,,,IR source points press release and financial statement. No transcript and webcast provided
3,Alphabet Inc.,GOOGL,https://abc.xyz/investor/,https://s206.q4cdn.com/479360582/files/doc_events/2026/Feb/04/2025_Q4_Earnings_Transcript.pdf,https://www.youtube.com/watch?v=mIK5-yi7a-c,"Transcript: PDF
Webcast: Youtube video"
4,Alphabet Inc. (Class C),GOOG,https://abc.xyz/investor/,https://s206.q4cdn.com/479360582/files/doc_events/2026/Feb/04/2025_Q4_Earnings_Transcript.pdf,https://www.youtube.com/watch?v=mIK5-yi7a-c,same call as GOOGL
5,Microsoft Corporation,MSFT,https://www.microsoft.com/en-us/investor,https://aka.ms/transcriptfy26q2,https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q2,"Transcript:Doc
Webcast: Page with broadcast"
6,"Amazon.com, Inc.",AMZN,https://ir.aboutamazon.com/quarterly-results/default.aspx,,https://s2.q4cdn.com/299287126/files/doc_financials/2025/q4/Amazon-Quarterly-Earnings-Report-Q4-2025-Full-Call-v1.mp3,"Transcript: None
Webcast: Audio"
7,Broadcom Inc.,AVGO,https://investors.broadcom.com/company-information/past-events,,https://edge.media-server.com/mmc/p/7q5qvzsp,"Transcript: None
Webcast: Event page"
8,"Tesla, Inc.",TSLA,https://ir.tesla.com/,https://app.saytechnologies.com/tesla-2025-q4?,https://ir.tesla.com/webcast-2026-01-28,"Transcript: Q and A
Webcast: Event page"
9,"Meta Platforms, Inc.",META,https://investor.atmeta.com/investor-events/default.aspx,https://s21.q4cdn.com/399680738/files/doc_financials/2025/q4/META-Q4-2025-Earnings-Call-Transcript.pdf,https://events.q4inc.com/attendee/275609691,"Transcript: PDF
Webcast: Event Page"
10,Walmart Inc.,WMT,https://stock.walmart.com/financial-information/financial-results,https://stock.walmart.com/_assets/_08ee5483ec4c057568cc8774f3fd6aad/walmart/db/938/9972/transcript_management_call/CORRECTED+TRANSCRIPT++Walmart%2C+Inc.%28WMT-US%29%2C+Q4+2026+Earnings+Call%2C+19-February-2026+8+00+AM+ET.pdf,https://www.youtube.com/live/X9vejVGlPEg,"Transcript: PDF
Webcast: Youtube video"
11,ASML Holding N.V.,ASML,https://www.asml.com/en/investors/financial-results,https://ourbrand.asml.com/m/2c5d94d7b9619350/original/ASML-Results-Video-Transcript-Q4-and-FY-2025.pdf,https://www.asml.com/en/investors/financial-results/q4-2025#investor,"Transcript: PDF
Webcast: Event Page"
12,Costco Wholesale Corporation,COST,https://investor.costco.com/events-and-presentations/default.aspx,,https://events.q4inc.com/attendee/165782124,"Transcript: None
Webcast: Event page"
13,"Micron Technology, Inc.",MU,https://investors.micron.com/events-and-presentations,https://investors.micron.com/static-files/e089f8c0-065d-47b8-9d02-bfa863cdb357,https://events.q4inc.com/attendee/962359207,"Transcript: PDF
Webcast: Event Page"
14,"Netflix, Inc.",NFLX,https://ir.netflix.net/financials/quarterly-earnings/default.aspx,https://s22.q4cdn.com/959853165/files/doc_financials/2025/q4/Netflix-Inc-_Earnings-Call_2026-01-20_English-1.pdf,https://www.youtube.com/live/GYqP8zJLYKk,"Transcript: PDF
Webcast: Youtube video"
15,Palantir Technologies Inc.,PLTR,https://investors.palantir.com/financials/quarterly-results,,https://www.youtube.com/live/qQYAHS0oaiY,"Transcript:None
Webcast: Youtube video"
16,"Advanced Micro Devices, Inc.",AMD,https://ir.amd.com/financial-information/financial-results,https://d1io3yog0oux5.cloudfront.net/_82bea3dbebc803d58a0640ab0620fe45/amd/db/841/9223/webcast_transcript/AMD+Fiscal+Fourth+Quarter+and+Full+Year+2025+Financial+Results.pdf,https://edge.media-server.com/mmc/p/f3ya3e9u/,"Transcript: PDF
Webcast: Event Page"
17,"Cisco Systems, Inc.",CSCO,https://investor.cisco.com/financials/quarterly-results/default.aspx,https://investor.cisco.com/files/doc_financials/2026/q2/Q2FY26-Prepared-Remarks.pdf,https://events.q4inc.com/attendee/204970669,"Transcript: Prepared remarks PDF
Webcast: Event Page"
18,"Applied Materials, Inc.",AMAT,https://ir.appliedmaterials.com/financial-information/quarterly-results,https://ir.appliedmaterials.com/static-files/8beb86c0-2533-4d20-ba09-41fab41fc451,https://edge.media-server.com/mmc/p/pxtynons,"Transcript: Prepared remarks PDF
Webcast: Event Page"
19,Lam Research Corporation,LRCX,https://investor.lamresearch.com/quarterly-results,,,IR source points press release and financial statement. No transcript and webcast provided
